titre;tags;url;id
Comment semer et démarrer le sorgho efficacement ?;{'agriculture', 'organique', 'céréale', 'sorgho', 'millet'};https://www.youtube.com/watch?v=kzs_eynyXaA;1
Quand commencer ses semis ?;{'loic', 'direct', 'terrine', 'paillage', 'reussir', 'commencer', 'quand', 'jardineur', 'carrés', 'période', 'couvert', 'compost', 'potager', 'techniques', 'fevrier', 'janvier', 'carré', 'tomates', 'faire', 'semis', 'sous', 'jardinage'};https://www.youtube.com/watch?v=_3Gu4rb8R6k;2
Quelles sont les principales maladies du riz ?;set();https://www.youtube.com/watch?v=8gPDiR7VaqY;3
Pourquoi les feuilles d'oignon pourrissent-elles si vite ;{'quel', 'faciles', 'planter', 'permaculture', 'quels', 'démarrer', 'facilement', 'légumes', '10', 'légume', '2023', 'vivant', 'cultiver', 'pousser', 'jardin', 'comment', 'maraichage', 'sol', 'potager', 'premiers', 'débutant', 'semer', 'faire', 'semis', 'calendrier', 'jardinage', 'pousse'};https://www.youtube.com/watch?v=ZgAn64jhwlY;4
Comment identifier et traiter les maladies ravageurs et carences des cultures d'oignon ?;{'conseilles', 'algérie', 'oignon', 'engrais', 'switzerland', 'france', 'problèmes', 'légumes', 'feuilles', 'traitements', 'entretien', 'cultures', 'tunisie', 'oigon', 'culture', 'suisse', 'jardin', 'insectes', 'poireau', 'cultutre', 'astuces', 'ravageur', 'plantation', 'carences', 'technique', 'maroc', 'ravageurs', 'maladies', 'conseil', 'jardinage', 'belgique'};https://www.youtube.com/watch?v=h_YKZniVs9k;5
Comment PLANTER les OIGNONS ? ;{'légume', 'planter', 'cultiver', 'oignon', 'culture', 'oignons', 'potager', 'plantation', 'jardinage'};https://www.youtube.com/watch?v=cb4WEMOg8jE;6
Comment gérer les maladies et les ravageurs sous serre ?;{'serre', 'insecte', 'plante', 'culture', 'ravageur', 'maladie', 'sous', 'jardinage'};https://www.youtube.com/watch?v=OxSiD95jr2E;7
Quel sont les maladies des tomates ?;{'légumes', 'tomates', 'botrytis', 'permaculture', 'potager', 'oidium', 'maladies', 'jardin', 'jardinier', 'jardinage'};https://www.youtube.com/watch?v=2YrH9uZi744;8
Comment cultiver les Tomates et récolter énormément ? ;{'tomate', 'serre', 'tomates', 'écologie', 'cultiver', 'permaculture', 'damien', 'dekarz', 'jardinage', 'autonomie'};https://www.youtube.com/watch?v=rGTnLAJlCAQ;9
comment faire sa poudre de piments d'espelette ?;set();https://www.youtube.com/watch?v=r5D4_cKBRMg;10
Comment conserver les piments et poivrons ?;{'conservation', 'poivron', 'séchage', 'méthode', 'déshydratation', 'technique', 'piment', 'conserver'};https://www.youtube.com/watch?v=MZsTWu1w58w;11
Comment se débarrasser gratuitement des serpents, termites et fourmis ?;set();https://www.youtube.com/watch?v=81NE2Ffd3Fg;12
Pourquoi y a-t-il des taches noires sur les feuilles des plantes et comment les traiter ? ;{'plantes', 'car', 'brunes', 'a', 'feuilles', 'comment', 'plante', 'taches', 'malade', 'noires', 'nettoyer', 'brunissent', 'succulentes', 'plates', 'éviter', 'pourquoi', 'verte'};https://www.youtube.com/watch?v=IcClHcjoygE;13
Comment identifier et traiter le mildiou ?;{'rustica', 'rouille', 'hubert', 'rusticatv', 'champignon', 'astuce', 'truc', 'youtube', 'chaine', 'jardin', 'magazine', 'maladie', 'tv', 'jardinier', 'video', 'videos', 'jardinage'};https://www.youtube.com/watch?v=kpLbSwvHxl8;14
Comment rendre les semences du mil plus résistante à la sécheresse ?;set();https://www.youtube.com/watch?v=kKb451U9QWg;15
Comment réussir le semis du sorgho grain ?;{'tnf80', 'sorghum', 'semis', 'ng3', 'monosem', 'grain', 'sorgho'};https://www.youtube.com/watch?v=fexR0HSFAao;16
Comment réussir la rotation des cultures dans votre potager ?;{'quel', 'faciles', 'planter', 'permaculture', 'quels', 'démarrer', 'facilement', 'légumes', '10', 'légume', '2023', 'vivant', 'cultiver', 'pousser', 'jardin', 'comment', 'maraichage', 'sol', 'potager', 'premiers', 'débutant', 'semer', 'faire', 'semis', 'calendrier', 'jardinage', 'pousse'};https://www.youtube.com/watch?v=8cHJyIW2nxY;17
Quelles sont les meilleures techniques pour lutter contre la sécheresse ?;{'rustica', 'hubert', 'rusticatv', 'astuce', 'arrosage', 'truc', 'youtube', 'economie', 'chaine', 'jardin', 'eau', 'magazine', 'secheresse', 'tv', 'jardinier', 'video', 'manque', 'jardinage'};https://www.youtube.com/watch?v=y_CJYqaUB0c;18
Comment produire, protéger et conserver ses graines au potager ?;{'légumes', 'insecte', 'conservation', 'graines', 'potager', 'oiseau', 'autosuffisance', 'semences', 'maladie', 'semencespaysannes'};https://www.youtube.com/watch?v=SD4TmXaoKxw;19
Comment évaluer la maturité du maïs ?;set();https://www.youtube.com/watch?v=mxV-o7Q626U;20
Quels sont les conseils pour améliorer le rendement de l’arachide ?;{'arachides', 'agriculture', 'agribusiness', 'chqmp', 'recoltes', 'technologies', 'labourage', 'semis', 'canal', 'agro', 'semences', 'jeunes', 'entrepreneuriat', 'burkina', 'tv', 'faso', 'production', 'météo'};https://www.youtube.com/watch?v=sFAFjJvNXXE;21
Comment éliminer naturellement et facilement les attaques de chenilles ?;{'bassil', 'processionnaires', 'manger', 'détruire', 'larves', 'phytophage', 'bacillus', 'chenilles', 'arbustes', 'efficace', 'trous', 'basile', 'insecte', 'chenille', 'naturel', 'turinge', 'defoliatrice', 'éliminer', 'simple', 'larve', 'thurenge', 'verte', 'traiter', 'arbres', 'mangées', 'trou', 'débarrasser', 'comment', 'prunier', 'trouer', 'verger', 'fruitiers', 'traitement', 'poirier', 'bio', 'naturelle', 'bacil', 'noir', 'rapide', 'bacille', 'turenge', 'fruits', 'tuer', 'pommier', 'biologique', 'thurengensis', 'cerisier'};https://www.youtube.com/watch?v=WIM5bDTe0js;22
Quel traitement anti-puceron naturel ?;{'puceron', 'astuce', 'diy', 'contre', 'pucerons', 'anti', 'lutter', 'conseil', 'jardinage'};https://www.youtube.com/watch?v=iBPziOVJGuA;23
Comment bien utiliser les engrais en agriculture ?;{'plantes', 'agriculture', 'comment', 'piment', 'engrais', 'culture', 'chimique', 'fertiliser', 'utiliser', 'fertilisation', 'agricoles', 'npk'};https://www.youtube.com/watch?v=OtyDt-u4CzQ;24
Quelles sont les techniques de production de semences de sorgho ?;set();https://www.youtube.com/watch?v=ZJDZDnRqu0U;25
Comment préparer le sol et semer le maïs MASTROP efficacement ?;{'astuces', 'seeds', 'mas', 'expert', 'sol', 'semences', 'préparation', 'conseils'};https://www.youtube.com/watch?v=jysVA1Vr2Gg;26
Comment fertiliser un arbre en seulement une minute ?;{'plantes', 'agriculture', 'apport', 'comment', 'plante', 'agricole', 'engrais', 'fertiliser', 'faire', 'arbre', 'arbres', 'chaine', 'fertilisation', 'fertilisant'};https://www.youtube.com/watch?v=gTGDKU3yjt0;27
Comment planter le MANIOC en 1 minute ?;{'agriculture', 'manioc', 'comment', 'semer', 'agricole', 'planter', 'bouture', 'semis', 'youtube', 'chaine', 'boutures', 'video'};https://www.youtube.com/watch?v=JwukBe1bk6I;28
Comment cultiver le COCOTIER ?;{'agriculture', 'cocotier', 'comment', 'semer', 'agricole', 'planter', 'cultiver', 'culture', 'semis', 'noix', 'chaine', 'coco'};https://www.youtube.com/watch?v=t1lIC9UvcFo;29
Comment cultiver le chou Fait maison ?;{'agriculture', 'comment', 'planter', 'cultiver', 'culture', 'semis', 'plantation', 'produire', 'chou', 'production'};https://www.youtube.com/watch?v=5lIfmfWpPp4;30
Comment obtenir un Citronnier Nain marcotage du citronnier ?;{'citronnier', 'obtenir', 'comment', 'culture', 'faire', 'nain', 'marcotage'};https://www.youtube.com/watch?v=ydlDShbrQEs;31
Comment Planter le Piment à l'envers ?;{'a', 'comment', 'planter', 'culture', 'envers', 'pot', 'piment'};https://www.youtube.com/watch?v=B4CAszZGbJ4;32
Comment cultiver le gingembre dans des sacs de ciment ?;{'gingembre', 'comment', 'hors', 'sac', 'cultiver', 'culture', 'sol', 'sacs', 'pot', 'ciment', 'production'};https://www.youtube.com/watch?v=adjyR-4YQOE;33
Comment faire pousser l'Ananas dans l'eau ?;{'agriculture', 'cultiver', 'culture', 'faire', 'pousser', 'eau', 'ananas', 'production'};https://www.youtube.com/watch?v=EG7R0gRPsSI;34
Comment faire pousser des aubergines à partir des graines Culture de l'aubergine ?;{'a', 'semer', 'cultiver', 'culture', 'faire', 'pousser', 'partir', 'graines', 'aubergines', 'production', 'aubergine'};https://www.youtube.com/watch?v=Hu0rTXsrz-g;35
Comment cultiver les arachides dans des seaux facile et simple ?;{'pots', 'comment', 'arachide', 'cultiver', 'culture'};https://www.youtube.com/watch?v=81wuDymY_mA;36
Comment cultiver le Radis Blanc du semis à la récolte ?;{'comment', 'planter', 'cultiver', 'culture', 'blanc', 'radis'};https://www.youtube.com/watch?v=Q6N5i93GRNs;37
Comment cultiver la Patate Douce dans des caisses ?;{'patate', 'comment', 'planter', 'cultiver', 'culture', 'production', 'douce'};https://www.youtube.com/watch?v=zSMSdFq-gJQ;38
Comment cultiver l'Oignon Vert dans des bouteilles plastique ?;set();https://www.youtube.com/watch?v=hEUZYxV39To;39
Comment planter des Carottes dans des Sacs Plastiques ?;{'tutos', 'agriculture', 'carotte', 'comment', 'hors', 'agricole', 'planter', 'plastiques', 'sol', 'semis', 'production', 'sacs', 'carottes'};https://www.youtube.com/watch?v=pG5lamcSX34;40
Comment produire de la Patate Douce dans des Sacs Plastiques ?;{'agriculture', 'patate', 'semer', 'comment', 'hors', 'planter', 'cultiver', 'plastiques', 'sol', 'sacs', 'produire', 'production', 'douce'};https://www.youtube.com/watch?v=OMLqElVN-tk;41
Comment regreffer sa vigne ?;set();https://www.youtube.com/watch?v=anoGHU6-Hx4;42
Comment planter des radis ?;{'replay', 'france', 'silence', 'plantes', '5', 'balcon', 'carole', 'jardin', 'cour', 'radis', 'ça', 'tolila', 'breham', 'noelle', 'potager', 'plantation', 'marie', 'bio', 'stéphane', 'nature', 'tv', 'saison', 'plante', 'panqiue', 'télévisions', 'stephane', 'emission', 'terrasse', 'jardinage', 'pousse'};https://www.youtube.com/watch?v=sb7fg6LAiig;43
Comment utiliser les cosses de haricots au jardin plutôt que de les jeter ?;{'engrais', 'permaculture', 'azote', 'conservation', 'naturel', 'plus', 'organique', 'culture', 'jardin', 'haricots', 'secs', 'cosses', 'diy', 'jeter', 'potager', 'bio', 'tuto', 'amender', 'amendement', 'espagne', 'jardinage'};https://www.youtube.com/watch?v=EPjg5LjDE0E;44
Comment installer un arrosage goutte à goutte ?;{'installer', 'automatique', 'programmation', 'olivier', 'irrigation', 'potager', 'goutte', 'arrosage'};https://www.youtube.com/watch?v=BsgtnkXc-LE;45
Quelles sont les astuces pour construire une serre en bois pour tomates à moindre coût ?;{'serre', 'mini', 'permaculture', 'bois', 'autonomie', 'vivant', 'jardin', 'auto', 'tomate', 'agroécologie', 'comment', 'maraichage', 'construction', 'sol', 'potager', 'maison', 'bio', 'tuto', 'tomates', 'chère', 'fabriquer', 'hiver', 'abris', 'fait', 'sous'};https://www.youtube.com/watch?v=dRm5EOAvqBY;46
Comment planter des piments ?;{'jardinerie', 'semer', 'comment', 'truffaut', 'cayenne', 'planter', 'cultiver', 'culture', 'faire', 'pousser', 'potager', 'recolte', 'piment', 'quand'};https://www.youtube.com/watch?v=pnG_8ULo5kM;47